title,level,language,subtitles,price,n_enrolled
UML Class Diagrams for Software Engineering,Introductory,English,English,49,17505.0
Compilation Basics for Macroeconomic Statistics,Introductory,English,English,25,0.0
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,Introductory,Español,Español,25,9709.0
From Fossil Resources to Biomass: A Chemistry Perspective,Advanced,English,English,149,0.0
System Dynamics for Health Sciences,Intermediate,English,English,139,8222.0
Internet de las cosas (IoT) y Big Data,Intermediate,Español,Español,49,15014.0
Introduction to Psychological Research Methods,Introductory,English,English,99,15349.0
Sustainable Packaging in a Circular Economy,Intermediate,English,English,50,16719.0
Design in Healthcare: Using Patient Journey Mapping,Introductory,English,English,129,23275.0
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",Intermediate,Español,"English, Español",99,0.0
"Electronic, Optical, and Magnetic Properties of Materials",Advanced,English,English,150,0.0
La España del Quijote,Introductory,Español,Español,19,12318.0
Risk Management for Projects,Introductory,English,English,199,5517.0
Smithsonian’s Objects That Define America,Introductory,English,English,50,71290.0
Creating Modern China: The Republican Period to the Present,Introductory,English,"English, 中文",139,48539.0
Discover Political Science,Intermediate,English,English,50,0.0
Data Science: Inferential Thinking through Simulations,Introductory,English,English,199,0.0
Programming for Data Science,Introductory,English,English,199,0.0
Public Sector Debt Statistics,Intermediate,English,English,25,14266.0
Sensor Fusion and Non-linear Filtering for Automotive Systems,Advanced,English,English,299,24444.0
Creación musical con Soundcool: Introducción,Introductory,Español,Español,30,0.0
First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,Introductory,English,English,49,0.0
The Quantum Internet and Quantum Computers: How Will They Change the World?,Introductory,English,English,50,6216.0
Research Methods: An Engineering Approach,Introductory,English,English,169,0.0
Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,Introductory,Español,Español,49,16423.0
Rise to Leadership: Become a CEO,Intermediate,English,English,199,10969.0
Building a Cybersecurity Toolkit,Introductory,English,English,199,6934.0
Marketing your Android apps,Intermediate,English,English,49,0.0
Embedded Systems Essentials with Arm: Getting Started,Intermediate,English,English,149,27241.0
Life with Diabetes,Introductory,English,English,139,11055.0
Human Reproduction,Intermediate,English,English,169,7525.0
Enabling Technologies for Data Science and Analytics: The Internet of Things,Introductory,English,English,99,8006.0
