course_id,course_title,price,num_subscribers,num_lectures,level
284118,VPS for Forex Trading - Protect Your Forex Robots,160,4252,24,All Levels
302562,Introduction to Accounting: The Language of Business,20,11958,134,Beginner Level
596598,Basic Excel for Basic Bookkeeping and Accounting,95,7743,33,Beginner Level
860890,"Using 'The Greeks To Understand Options""",50,2134,5,All Levels
951050,Trading Options For Consistent Returns: Calendar Spreads,200,1214,20,All Levels
796450,How to Create Your Personal Budget,20,3870,10,All Levels
502772,The Complete Value Investing Course: A Proven Approach,200,2146,49,All Levels
1102462,FOREX Trading with Price Action,195,484,19,Beginner Level
1062092,Emini ES Futures - Advanced Non Directional Options Trading,200,1057,14,All Levels
891484,Forex Trading - Advanced Fundamental Analysis,20,1754,49,Intermediate Level
1217064,How To Invest With Tiny Capital In Stocks ?,20,1239,6,Beginner Level
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,108,All Levels
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,57,Beginner Level
474928,Intermediate Options trading concepts for Stocks and Options,40,2000,9,All Levels
1148774,Options Trading 101: The Basics,0,1514,11,Beginner Level
959144,Practical Accounts APP Overview,20,1361,14,Intermediate Level
1233350,Bitcoin Profits for Beginners,100,61,30,Beginner Level
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,75,1513,60,All Levels
724062,Financial Statements Basics,20,1374,9,Beginner Level
474212,High performance Stock Trading using key Options techniques,40,2103,6,All Levels
771276,Introduction to Financial Statement Analysis,20,1480,25,Beginner Level
388164,Basics of Economics (College Level),25,2516,20,All Levels
133536,Stock Market Investing for Beginners,0,50855,15,Beginner Level
655300,Accounting for Beginners : Learn Basics in under 1 Hour,50,1971,20,Beginner Level
949504,Straddle Options Trading - Profit in Any Market Direction,200,837,19,All Levels
265960,Fundamentals of Forex Trading,0,17160,23,All Levels
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",195,1723,24,Beginner Level
923616,Website Investing 101 - Buying & Selling Online Businesses,0,6811,51,All Levels
741898,Practical Accounts & Bookkeeping Automated Overview ,20,2060,30,All Levels
381330,Live Account - ETF Trading System - Hacking The Stock Market,150,2318,16,All Levels
545918,Stock Market Leverage: How to Start Trading Options Wisely,95,2153,13,Beginner Level
191854,Stock Market Foundations,0,19339,9,Beginner Level
471546,Crash Course on Working Capital Management,20,3177,8,All Levels
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150,1535,462,All Levels
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,20,1027,25,All Levels
1191504,How to create a routine Trading,25,307,5,All Levels
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",150,2096,29,All Levels
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,50,1315,59,Beginner Level
151668,Introduction to Financial Modeling,0,29167,8,Intermediate Level
1105344,Quantitative Aptitude for Banking & Competitive Examinations,50,1056,42,All Levels
44836,Option Spreads and Credit Spreads Bundle,180,2212,24,Expert Level
840300,B Com Accountancy I (Paper ECO 02 IGNOU),50,2946,284,All Levels
1100054,FOREX TRADING - Learn in a quick + profitable way + support,100,271,47,All Levels
421054,Auditing Basics (Professional Course Level),25,3771,35,All Levels
528784,Stock market Investing Encyclopedia: How to invest in stocks,200,3143,39,Intermediate Level
637430,Learn the basics of preparing accounting statements,20,1951,20,Intermediate Level
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,90,4022,14,Expert Level
777444,Corporate Finance - A Brief Introduction,0,11724,17,Beginner Level
474238,Excel functions to analyze and visualize data,20,2283,16,Intermediate Level
1245244,Building Financial Statements in Excel,35,1181,18,Beginner Level
1051570,Transfer Pricing A Complete Analysis,50,1852,14,All Levels
262370,Accounting: Get Hired Without Work Experience,100,4661,20,All Levels
1188178,Forex Trading for Beginners - Basics,50,989,11,All Levels
824592,Basic Bookkeeping Hacks,20,5841,28,All Levels
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),200,1087,61,All Levels
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",200,611,26,Beginner Level
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",60,1922,15,All Levels
252396,How to Pick The Right Penny Stocks To Invest In 2017,150,9015,23,All Levels
1198166,Top 10 Trading Ideas in the Equities Market,20,661,12,All Levels
920604,Intro to Financial Modeling,105,1077,55,Beginner Level
215728,Shark Accounting - Building a Business by the Numbers!,20,6050,17,Beginner Level
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,150,3523,45,All Levels
48841,Accounting in 60 Minutes - A Brief Introduction,0,56659,16,Beginner Level
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,100,1444,59,Beginner Level
317030,Learn how to double your Forex Trading Account in one trade,60,2900,36,Intermediate Level
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",200,1437,34,Beginner Level
1070886,Python Algo Trading: FX Trading with Oanda,200,453,33,Intermediate Level
812616,Save on Your Taxes,20,2437,23,All Levels
407984,Financial Model Basics: Build a model from start to finish,30,5057,13,Beginner Level
214046,Option Trading for Rookies: The Covered Call Option Strategy,95,6092,29,Beginner Level
512400,EFT for Stock Options Trading Success & Making Better Trades,95,4530,31,All Levels
377370,Learn to Trade the Stock Market without Blowing Your Profits,60,6967,34,All Levels
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,20,727,25,Beginner Level
945750,Fundamentals of Accounting,20,1560,25,All Levels
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200,1047,46,All Levels
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,125,1045,17,Intermediate Level
402836,Accounting 101: How to read an Accounting Balance Sheet,200,3050,22,Beginner Level
588764,Stock Options Day Trading Mindset for Success,200,2988,43,All Levels
576946,Introduction to bookkeeping and Accounting,35,2623,20,Beginner Level
543242,Learn to Trade The News,200,1924,544,All Levels
502240,"Value Investing, Taught by Six Superinvestors",200,3804,66,All Levels
598266,Trading for everyone - The Independent Investor Course I,120,4133,36,Beginner Level
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,195,1420,29,All Levels
1076920,Stock Market investment: Practical Accounting,125,1120,43,Beginner Level
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,22,All Levels
441112,Accounting Basics in 66 Minutes (absolutely for beginners),25,4086,14,All Levels
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",200,1033,29,All Levels
1028030,Analysis of Company Financial Statements,20,832,34,All Levels
1018380,Forex Trading Like Banks – Step by Step with Live Examples,195,677,40,All Levels
575676,Fundamentals of Investing!,20,3125,13,Beginner Level
1105216,Bank Financial Management A Comprehensive Study,50,1081,21,All Levels
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,200,1645,42,All Levels
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",120,3348,13,All Levels
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,939,19,All Levels
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,200,2115,88,All Levels
625568,Charting for Beginners 101: Technical Analysis Demystified,45,2230,10,All Levels
297742,Build a DCF Valuation Model,50,2053,44,All Levels
24877,Introductory Financial Accounting,80,1793,54,Beginner Level
1188742,Introduction to Cryptocurrencies and Blockchain,0,3775,11,Beginner Level
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,200,521,24,All Levels
415802,Accounting Standards Basics (Professional Course Level),20,2222,12,All Levels
323950,Use the Magic Multiple Moving Average Forex Trading system,50,1097,10,Intermediate Level
488818,QuickBooks 2015 Training for Newbies,200,2506,76,Beginner Level
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,975,23,Intermediate Level
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,145,1398,26,All Levels
599684,Profitable binary option trading strategy,195,1096,24,All Levels
332848,Tax Strategy: Financial Planning for Beginners,200,1703,25,All Levels
354324,Accounting 2 Simplified for You,45,1446,27,Beginner Level
379682,Project Funding Modelling (for Professionals),20,2736,8,All Levels
319020,Investing: How I Consistently Beat The Stock Market,200,2000,34,All Levels
713258,Bookkeeping Basics:  Understand the Fundamentals,75,853,48,Beginner Level
537884,Leasing - A Comprehensive Study (Professional Course Level),20,3094,22,All Levels
919906,Trading Options For Consistent Returns: Options Basics,0,4077,20,Beginner Level
46010,TechniTrader Leading Hybrid Indicator Trading,20,4117,5,Intermediate Level
777932,Financial modeling: Build a DCF equity valuation model,20,1369,31,All Levels
773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),150,1224,14,All Levels
221306,Accounting Is Easy (for Beginners),20,3870,90,All Levels
830994,Non Directional Weekly Options Trading System - ETF & Emini,200,897,21,All Levels
723510,The Complete Position Trading Course: Position Trading Stock,45,1311,5,All Levels
42643,Master Iron Condors - Double the credit for half the risk,60,1338,7,Expert Level
411778,Basics of investing in Mutual Funds,20,1589,42,Intermediate Level
366514,A Value Investing Approach to the Stock Market,20,1189,15,All Levels
471588,Learn how to INVEST for huge profits or make it big trading!,50,701,37,All Levels
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,1105,54,Intermediate Level
607876,Mastering Candlestick Charting : High Probability Trading,50,123,35,All Levels
249950,Binary Options Course - Level 2,0,5874,9,Intermediate Level
792216,Stock Technical Analysis with R,50,354,49,All Levels
45139,"Get to know the VIX Index (aka 'The Fear Index)""",60,727,9,All Levels
692176,Apply finance concepts for smart project management,0,3465,24,Beginner Level
1224262,Introduction to Futures Trading and Live Trade Demonstration,60,54,6,Expert Level
598094,Crowdfunding to Win,40,627,15,All Levels
40039,Comprehensive Forex Mastery Program,45,650,97,All Levels
1266148,Preparation of Consolidated Financial Statements (Basic),0,965,18,Intermediate Level
791422,Succeed in Bonds Even if You Don't Know Where to Start,200,1113,8,All Levels
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,739,45,All Levels
791436,Succeed in Lotto Even if You Don't Know Where to Start!,20,1201,18,All Levels
537878,CFA Corporate Finance Level 2,50,2474,128,All Levels
923184,Pin Bars: The Most Powerful Forex Trading Signal,200,494,19,All Levels
476256,Stock Options Trades Using Interactive Brokers,95,1580,14,Intermediate Level
552504,Introduction to Options - Strategies For Consistent Profits,40,617,55,All Levels
537888,Risk in Forex Transactions - for CA / CS / CFA exams,20,2235,9,All Levels
385686,Basics of Business Statistics (College Level),20,2293,28,All Levels
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,1094,13,Beginner Level
57415,Interpreting Financial Statements,20,1449,23,Beginner Level
155344,Introduction to Bookkeeping (Accounting),20,3251,59,Beginner Level
42491,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,60,607,16,Intermediate Level
511952,Investment Banking: How to Land a Job on Wall Street,75,1218,63,All Levels
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,1132,18,All Levels
862786,Financial modeling: Build a multiples valuation model,20,656,20,All Levels
165122,Trade Recap I - A Real Look at Futures Options Markets,20,3339,11,Beginner Level
530768,Advanced Stock Options for Serious Equity Investors!,200,1271,7,Expert Level
218416,Trading Binary Options for Fun and Profit,20,1574,46,All Levels
619296,CFA: Fast Track your career in Finance,20,1393,21,Beginner Level
717278,How to be a Profitable Forex Trader,20,1029,7,All Levels
445916,Excel Dashboard - Interactive Excel Dashboard and Charts,30,843,34,All Levels
267984,Accounting 101: Learn Business Finance Forecasting in 60mins,95,1730,12,All Levels
180362,The Securities Trade Lifecycle,50,1182,22,All Levels
364810,Double your Forex Account using the MAGIC MA trading robot,65,1160,24,Intermediate Level
692722,Technical Analysis 101: How to Profit During Market Crashes,95,1730,53,All Levels
298558,Advanced Accounting for Investment Banking,50,1260,38,Intermediate Level
480752,Investing In Stocks With 10 Simple Rules,95,871,59,All Levels
637922,Venture Capital. What is it and Why it Matters to You!,50,1566,25,All Levels
337320,Cash Flow Valuation: Develop Your Financial Literacy,105,2987,19,All Levels
876646,Direction-Independ Trading - Elite Forex Traders  Strategy,120,973,28,All Levels
529424,How to Become a Financial Analyst from Scratch!,40,2177,38,Beginner Level
720814,First Steps to Trading the Forexmarkets : Technical Analysis,35,1772,15,Beginner Level
515326,Financial analysis: Compare performance of companies,20,1850,20,All Levels
1218552,Forex for Beginners: Easy Forex Trading for Beginners,0,1780,9,Beginner Level
851106,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0,4607,11,Beginner Level
429308,Read financial statements like a pro,50,12,38,Intermediate Level
302450,10 Numbers Every Business Owner Should Know,20,13,9,All Levels
1117834,Learn How To Trade Gold In 2017,200,2,16,All Levels
190816,IAS 18 - Revenue,0,2571,23,All Levels
244000,Forex Trading: The High ROI Forex Trading End of Day Course,125,8,19,Intermediate Level
429482,Fundraise the Simplified Way: A Crowdfunding Blueprint,35,7,19,All Levels
831940,Fundamentals of Accounting for Business Owners,20,217,47,Beginner Level
833770,Practical Financial Statement Analysis,75,22,45,All Levels
658764,Forex Management - Detailed Study for CA / CS / CFA Exams,50,131,38,All Levels
707224,Financial Statement Review 101:  How to Find Errors,30,5,15,Beginner Level
64739,Professional Risk Manager (PRM) Certification: Level 1,50,116,51,All Levels
907716,International Tax  - Tax Beyond boundaries,100,27,235,All Levels
1030976,The Complete Financial Statement Analysis Course,150,912,37,Beginner Level
722682,Advanced Excel functions,20,1964,15,All Levels
1122146,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),200,1033,31,Beginner Level
808506,Candlestick Analysis For Professional Traders,95,913,48,Expert Level
673016,Build A Career In Forex Trading- Learn Fundamental Analysis,200,2092,52,All Levels
358062,Financial Modeling: Build a Complete DCF Valuation Model,95,2240,44,All Levels
372234,Hands-on Financial Modeling (With 6 Excel Templates),30,4601,14,Intermediate Level
822514,CAIIB Advanced Bank Management (Part I),25,2953,211,All Levels
1045726,Stock Market investment:Non financial fundamental analysis,125,1091,29,Beginner Level
943426,Learn How to Play CashFlow Game,35,1459,26,Beginner Level
46927,Basics of Business Finance,30,4855,24,Beginner Level
567070,Accounting Made Easy 2,50,4034,40,Intermediate Level
867440,"Bitcoin: el futuro del dinero, hoy",200,57,19,Intermediate Level
501996,Aprende a invertir practicando,35,26,42,All Levels
1103590,Trading con retrocesos de Fibonacci,25,14,15,All Levels
1172370,Mit Finanzwissen zu besserem Unternehmertum,50,49,23,Beginner Level
673702,Como hacer empresa en 10 sesiones prácticas,20,11,10,Intermediate Level
821108,المحاسبة للإداريين و غير المحاسبين,20,9,17,Beginner Level
863998,株式投資で本当のファンダメンタル分析ができるようになる,20,91,30,All Levels
822926,Curso de Trading práctico basado en casos reales,20,44,55,All Levels
666254,Curso Avanzado de Trading,125,106,100,All Levels
421546,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,0,2079,25,All Levels
518886,MQL4 Tutorial Golden Goose,20,135,12,Beginner Level
868128,Análise de Concessão de Crédito,20,31,20,All Levels
986034,Technical Analysis Using Elliott Wave Theory,60,217,16,All Levels
42642,The Basics Of Volume Analysis,60,611,13,All Levels
471428,Crash Course on Cost of Capital and Capital Structuring,0,5007,19,All Levels
600206,Business Accounting Made Easy,50,1168,26,Beginner Level
283780,Build a DCF Model from Scratch,0,4653,5,All Levels
52118,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",0,3035,14,All Levels
42640,Technical Analysis - A practical approach for trade entry,60,454,15,Expert Level
767256,Mastering Technical Analysis : Maximizing Trading Profits,60,325,62,All Levels
843854,The Complete Guide to Professional Trading with Elliott Wave,115,228,43,All Levels
247558,A Complete Guide to Becoming a Trader on the Forex Market,25,562,15,All Levels
696616,Stock Market for Beginners - Complete Starter Toolkit,120,577,82,Intermediate Level
205810,Beginners Binary Options Course,0,10540,14,Beginner Level
507486,Technical Analysis 101: Secrets of Trading Revealed,150,912,81,All Levels
965306,Forex: What's a Trend and When it is Strong and Reliable,0,2955,30,Intermediate Level
1128662,Volatility Trading Analysis with R,50,190,45,Expert Level
1068986,How To Profit From Stock Market Volatility,0,1736,11,All Levels
627706,Awaken the Accountant in You | Master the Accounting Basics,35,1135,16,Beginner Level
255280,WE WILL PAY YOU TO TRADE WITH US,20,2101,11,All Levels
628944,Situational Trading: Proven Option Strategy for any Scenario,200,1048,16,All Levels
537886,Portfolio Management for CA / CS / CFA exams,20,1740,8,All Levels
